Label, Count, Average
Wf_ViewInternalReviewOnDELIVERIESANDRETURNS_Tab, 10, 1979
Opt_GetOptRules, 10, 320
Collateral_Config_GotoPreferencesPage, 10, 4877
EM_Click_DynamicFilter_Under_MarginFilters_MAIN, 10, 64790
EM_GotoAnyPageOf_Completed_UnderMarginFilters, 10, 27078
Agmt_RecalcStatement, 10, 739
EM_GotoAnyPageOf_Call_Under_MarginFilters_MAIN, 10, 30268
StDt_GotoCashflowRulePage, 10, 245
Agmt_GotoOrgSearchFramePage, 20, 410
Org_SaveOrgAdditionalFields_Ajax, 10, 263
EM_GotoAnyPageOf_DeliveryReturn_UnderMarginFilters, 10, 20067
StDt_AddNotNetEligRuleTemplate_MAIN, 10, 209
Wf_GotoIMSearchPage, 10, 2600
Opt_RunOptimisationRule, 10, 398
EM_GotoEMPage_MAIN, 10, 546
EM_Click_Confirmed_Under_SubstitutionFilters_HTML, 10, 1
Org_SaveOrgCreditDetails_HTML, 10, 1
CD_Click_DynamicFilter_On_Agreement_Tab_Ajax_getCountForFilters_agreement, 10, 16731
Asset_GotoNewBondInstrumentPage, 10, 545
Collateral_Config_ApplyLetterConfigToAnyTab, 10, 364
EM_Click_Recall_Under_MarginFilters_HTML, 10, 1
Sys_ViewSystemPreferencesToAnyTab, 10, 437
EM_Click_Completed_Under_SubstitutionFilters_Ajax_showActionBtn, 10, 201
EM_Click_Issued_Under_SubsitituionFilters_HTML, 10, 1
Wf_ApproveAllWorkflowOnApprovalsManager, 1, 350
EM_Click_Completed_Under_SubstitutionFilters_Ajax_getColumnSetting, 10, 268
EM_Click_Completed_Under_MarginFilters_Ajax_getColumnSetting, 10, 386
EM_GotoAnyPageOf_Waived_Under_SubstitutionFilters, 20, 948
Agmt_GotoSetupPage, 10, 414
Wf_ApproveAllAgmtOnApprovalsManager, 1, 305719
Agmt_SaveTabAdditionalFields, 10, 1243
EM_Click_DynamicFilter_Under_AllFilters_HTML, 10, 1
EM_GotoAnyPageOf_DynamicFilter_Under_AllFilters_Ajax_showActionBtn, 20, 275
Wf_SearchSSIOnApprovalsManager, 1, 44047
EM_Click_PartiallyBooked_Under_SubsititutionFilter_Ajax_showActionBtnByFilter, 20, 181
EM_Click_Waived_Under_MarginFilters_Ajax_getColumnSetting, 10, 208
Org_GotoAddOrgPage_Ajax, 10, 372
Wf_SearchAgmtOnApprovalsManager, 2, 6501
Org_ApproveOrg_MAIN, 10, 438
Org_SaveOrgGlobalPreference_Ajax_Org_GetMainOrgDetail, 10, 238
StDt_AddNetEligRuleTemplate_Ajax_MAIN, 10, 212
EM_Click_SubConfimation_Under_SubsititutionFilter_Ajax_showActionBtnByFilter, 20, 208
StDt_AddMemberToInterestRate, 10, 392
EM_Click_Errors_Under_MarginFilters_MAIN, 10, 6395
CD_Click_DynamicFilter_On_Dashboard_Tab_SearchByAJAX, 10, 14291
Asset_ApproveInstrument, 20, 526
CD_GotoClearingDashboardPage_Ajax_getColumnSetting, 10, 367
